Date,Open,High,Low,Close,Volume,OpenInt,Stock
2019/8/23,52.357498,53.012501,50.25,50.66,187272000,0,AAPL
2019/8/26,51.465,51.797501,51.264999,51.622501,104174400,0,AAPL
2019/8/27,51.965,52.137501,50.8825,51.040001,103493200,0,AAPL
2019/8/28,51.025002,51.43,50.830002,51.3825,63755200,0,AAPL
2019/8/29,52.125,52.330002,51.665001,52.252499,83962000,0,AAPL
2019/8/30,52.540001,52.612499,51.799999,52.185001,84573600,0,AAPL
2019/9/3,51.607498,51.744999,51.055,51.424999,80092000,0,AAPL
2019/9/4,52.0975,52.369999,51.830002,52.297501,76752400,0,AAPL
2019/9/5,53,53.4925,52.877499,53.32,95654800,0,AAPL
2019/9/6,53.512501,53.605,53.127499,53.314999,77449200,0,AAPL
2019/9/9,53.709999,54.110001,52.767502,53.5425,109237600,0,AAPL
2019/9/10,53.465,54.195,52.927502,54.174999,127111600,0,AAPL
2019/9/11,54.517502,55.927502,54.432499,55.897499,177158400,0,AAPL
2019/9/12,56.200001,56.605,55.715,55.772499,128906800,0,AAPL
2019/9/13,55,55.197498,54.255001,54.6875,159053200,0,AAPL
2019/9/16,54.432499,55.032501,54.389999,54.974998,84632400,0,AAPL
2019/9/17,54.990002,55.205002,54.779999,55.174999,73274800,0,AAPL
2019/9/18,55.264999,55.712502,54.860001,55.692501,101360000,0,AAPL
2019/9/19,55.502499,55.939999,55.092499,55.240002,88242400,0,AAPL
2019/9/20,55.345001,55.639999,54.3675,54.432499,221652400,0,AAPL
2019/9/23,54.737499,54.959999,54.412498,54.68,76662000,0,AAPL
2019/9/24,55.2575,55.622501,54.297501,54.419998,124763200,0,AAPL
2019/9/25,54.637501,55.375,54.285,55.2575,87613600,0,AAPL
2019/9/26,55,55.235001,54.7075,54.9725,75334000,0,AAPL
2019/9/27,55.134998,55.240002,54.32,54.705002,101408000,0,AAPL
2019/9/30,55.224998,56.145,55.197498,55.9925,103909600,0,AAPL
2019/10/1,56.267502,57.055,56.049999,56.147499,139223200,0,AAPL
2019/10/2,55.764999,55.895,54.482498,54.740002,138449200,0,AAPL
2019/10/3,54.607498,55.240002,53.782501,55.205002,114426000,0,AAPL
2019/10/4,56.41,56.872501,55.9725,56.752499,138478800,0,AAPL
2019/10/7,56.567501,57.482498,56.459999,56.764999,122306000,0,AAPL
2019/10/8,56.455002,57.014999,56.0825,56.099998,111820000,0,AAPL
2019/10/9,56.7575,56.947498,56.41,56.7575,74770400,0,AAPL
2019/10/10,56.982498,57.610001,56.825001,57.522499,113013600,0,AAPL
2019/10/11,58.237499,59.41,58.077499,59.052502,166795600,0,AAPL
2019/10/14,58.724998,59.532501,58.6675,58.967499,96427600,0,AAPL
2019/10/15,59.0975,59.412498,58.720001,58.830002,87360000,0,AAPL
2019/10/16,58.342499,58.810001,58.299999,58.592499,73903200,0,AAPL
2019/10/17,58.772499,59.037498,58.380001,58.82,67585200,0,AAPL
2019/10/18,58.647499,59.395,58.572498,59.102501,97433600,0,AAPL
2019/10/21,59.380001,60.247501,59.330002,60.127499,87247200,0,AAPL
2019/10/22,60.290001,60.549999,59.904999,59.990002,82293600,0,AAPL
2019/10/23,60.525002,60.810001,60.305,60.794998,75828800,0,AAPL
2019/10/24,61.127499,61.200001,60.452499,60.895,69275200,0,AAPL
2019/10/25,60.790001,61.682499,60.720001,61.645,73477200,0,AAPL
2019/10/28,61.855,62.3125,61.68,62.262501,96572800,0,AAPL
2019/10/29,62.2425,62.4375,60.642502,60.822498,142839600,0,AAPL
2019/10/30,61.189999,61.325001,60.302502,60.814999,124522000,0,AAPL
2019/10/31,61.810001,62.2925,59.314999,62.189999,139162000,0,AAPL
2019/11/1,62.384998,63.982498,62.290001,63.955002,151125200,0,AAPL
2019/11/4,64.332497,64.462502,63.845001,64.375,103272000,0,AAPL
2019/11/5,64.262497,64.547501,64.080002,64.282501,79897600,0,AAPL
2019/11/6,64.192497,64.372498,63.842499,64.309998,75864400,0,AAPL
2019/11/7,64.684998,65.087502,64.527496,64.857498,94940400,0,AAPL
2019/11/8,64.672501,65.110001,64.212502,65.035004,69986400,0,AAPL
2019/11/11,64.574997,65.6175,64.57,65.550003,81821200,0,AAPL
2019/11/12,65.387497,65.697502,65.230003,65.489998,87388800,0,AAPL
2019/11/13,65.282501,66.195,65.267502,66.1175,102734400,0,AAPL
2019/11/14,65.9375,66.220001,65.525002,65.660004,89182800,0,AAPL
2019/11/15,65.919998,66.445,65.752502,66.440002,100206400,0,AAPL
2019/11/18,66.449997,66.857498,66.057503,66.775002,86703200,0,AAPL
2019/11/19,66.974998,67,66.347504,66.572502,76167200,0,AAPL
2019/11/20,66.385002,66.519997,65.099998,65.797501,106234400,0,AAPL
2019/11/21,65.922501,66.002502,65.294998,65.502502,121395200,0,AAPL
2019/11/22,65.647499,65.794998,65.209999,65.445,65325200,0,AAPL
2019/11/25,65.677498,66.610001,65.629997,66.592499,84020400,0,AAPL
2019/11/26,66.735001,66.790001,65.625,66.072502,105207600,0,AAPL
2019/11/27,66.394997,66.995003,66.327499,66.959999,65235600,0,AAPL
2019/11/29,66.650002,67,66.474998,66.8125,46617600,0,AAPL
2019/12/2,66.817497,67.0625,65.862503,66.040001,94487200,0,AAPL
2019/12/3,64.577499,64.8825,64.072502,64.862503,114430400,0,AAPL
2019/12/4,65.267502,65.827499,65.169998,65.434998,67181600,0,AAPL
2019/12/5,65.947502,66.472504,65.682503,66.394997,74424400,0,AAPL
2019/12/6,66.870003,67.75,66.824997,67.677498,106075600,0,AAPL
2019/12/9,67.5,67.699997,66.227501,66.730003,128042400,0,AAPL
2019/12/10,67.150002,67.517502,66.464996,67.120003,90420400,0,AAPL
2019/12/11,67.202499,67.775002,67.125,67.692497,78756800,0,AAPL
2019/12/12,66.945,68.139999,66.830002,67.864998,137310400,0,AAPL
2019/12/13,67.864998,68.824997,67.732498,68.787498,133587600,0,AAPL
2019/12/16,69.25,70.197502,69.245003,69.964996,128186000,0,AAPL
2019/12/17,69.892502,70.442497,69.699997,70.102501,114158400,0,AAPL
2019/12/18,69.949997,70.474998,69.779999,69.934998,116028400,0,AAPL
2019/12/19,69.875,70.294998,69.737503,70.004997,98369200,0,AAPL
2019/12/20,70.557503,70.662498,69.639999,69.860001,275978000,0,AAPL
2019/12/23,70.1325,71.0625,70.092499,71,98572000,0,AAPL
2019/12/24,71.172501,71.222504,70.730003,71.067497,48478800,0,AAPL
2019/12/26,71.205002,72.495003,71.175003,72.477501,93121200,0,AAPL
2019/12/27,72.779999,73.4925,72.029999,72.449997,146266000,0,AAPL
2019/12/30,72.364998,73.172501,71.305,72.879997,144114400,0,AAPL
2019/12/31,72.482498,73.419998,72.379997,73.412498,100805600,0,AAPL
2020/1/2,74.059998,75.150002,73.797501,75.087502,135480400,0,AAPL
2020/1/3,74.287498,75.144997,74.125,74.357498,146322800,0,AAPL
2020/1/6,73.447502,74.989998,73.1875,74.949997,118387200,0,AAPL
2020/1/7,74.959999,75.224998,74.370003,74.597504,108872000,0,AAPL
2020/1/8,74.290001,76.110001,74.290001,75.797501,132079200,0,AAPL
2020/1/9,76.809998,77.607498,76.550003,77.407501,170108400,0,AAPL
2020/1/10,77.650002,78.167503,77.0625,77.582497,140644800,0,AAPL
2020/1/13,77.910004,79.267502,77.787498,79.239998,121532000,0,AAPL
2020/1/14,79.175003,79.392502,78.042503,78.169998,161954400,0,AAPL
2020/1/15,77.962502,78.875,77.387497,77.834999,121923600,0,AAPL
2020/1/16,78.397499,78.925003,78.022499,78.809998,108829200,0,AAPL
2020/1/17,79.067497,79.684998,78.75,79.682503,137816400,0,AAPL
2020/1/21,79.297501,79.754997,79,79.142502,110843200,0,AAPL
2020/1/22,79.644997,79.997498,79.327499,79.425003,101832400,0,AAPL
2020/1/23,79.480003,79.889999,78.912498,79.807503,104472000,0,AAPL
2020/1/24,80.0625,80.832497,79.379997,79.577499,146537600,0,AAPL
2020/1/27,77.514999,77.942497,76.220001,77.237503,161940000,0,AAPL
2020/1/28,78.150002,79.599998,78.047501,79.422501,162234000,0,AAPL
2020/1/29,81.112503,81.962502,80.345001,81.084999,216229200,0,AAPL
2020/1/30,80.135002,81.022499,79.6875,80.967499,126743200,0,AAPL
2020/1/31,80.232498,80.669998,77.072502,77.377502,199588400,0,AAPL
2020/2/3,76.074997,78.372498,75.555,77.165001,173788400,0,AAPL
2020/2/4,78.827499,79.910004,78.407501,79.712502,136616400,0,AAPL
2020/2/5,80.879997,81.190002,79.737503,80.362503,118826800,0,AAPL
2020/2/6,80.642502,81.305,80.065002,81.302498,105425600,0,AAPL
2020/2/7,80.592499,80.849998,79.5,80.0075,117684000,0,AAPL
2020/2/10,78.544998,80.387497,78.462502,80.387497,109348800,0,AAPL
2020/2/11,80.900002,80.974998,79.677498,79.902496,94323200,0,AAPL
2020/2/12,80.3675,81.805,80.3675,81.800003,113730400,0,AAPL
2020/2/13,81.047501,81.555,80.837502,81.217499,94747600,0,AAPL
2020/2/14,81.184998,81.495003,80.712502,81.237503,80113600,0,AAPL
2020/2/18,78.839996,79.9375,78.652496,79.75,152531200,0,AAPL
2020/2/19,80,81.142502,80,80.904999,93984000,0,AAPL
2020/2/20,80.657501,81.162498,79.552498,80.074997,100566000,0,AAPL
2020/2/21,79.654999,80.112503,77.625,78.262497,129554000,0,AAPL
2020/2/24,74.315002,76.044998,72.307503,74.544998,222195200,0,AAPL
2020/2/25,75.237503,75.6325,71.532501,72.019997,230673600,0,AAPL
2020/2/26,71.6325,74.470001,71.625,73.162498,198054800,0,AAPL
2020/2/27,70.275002,71.5,68.239998,68.379997,320605600,0,AAPL
2020/2/28,64.315002,69.602501,64.092499,68.339996,426510000,0,AAPL
2020/3/2,70.57,75.360001,69.43,74.702499,341397200,0,AAPL
2020/3/3,75.917503,76,71.449997,72.330002,319475600,0,AAPL
2020/3/4,74.110001,75.849998,73.282501,75.684998,219178400,0,AAPL
2020/3/5,73.879997,74.887497,72.852501,73.230003,187572800,0,AAPL
2020/3/6,70.5,72.705002,70.307503,72.2575,226176800,0,AAPL
2020/3/9,65.9375,69.522499,65.75,66.542503,286744800,0,AAPL
2020/3/10,69.285004,71.610001,67.342499,71.334999,285290000,0,AAPL
2020/3/11,69.347504,70.305,67.964996,68.857498,255598800,0,AAPL
2020/3/12,63.985001,67.5,62,62.057499,418474000,0,AAPL
2020/3/13,66.222504,69.980003,63.237499,69.4925,370732000,0,AAPL
2020/3/16,60.487499,64.769997,60,60.552502,322423600,0,AAPL
2020/3/17,61.877499,64.402496,59.599998,63.215,324056000,0,AAPL
2020/3/18,59.942501,62.5,59.279999,61.6675,300233600,0,AAPL
2020/3/19,61.8475,63.209999,60.6525,61.195,271857200,0,AAPL
2020/3/20,61.794998,62.9575,57,57.310001,401693200,0,AAPL
2020/3/23,57.02,57.125,53.1525,56.092499,336752800,0,AAPL
2020/3/24,59.09,61.922501,58.575001,61.720001,287531200,0,AAPL
2020/3/25,62.6875,64.5625,61.075001,61.380001,303602000,0,AAPL
2020/3/26,61.630001,64.669998,61.59,64.610001,252087200,0,AAPL
2020/3/27,63.1875,63.967499,61.762501,61.935001,204216800,0,AAPL
2020/3/30,62.685001,63.880001,62.349998,63.702499,167976400,0,AAPL
2020/3/31,63.900002,65.622498,63,63.572498,197002000,0,AAPL
2020/4/1,61.625,62.18,59.782501,60.227501,176218400,0,AAPL
2020/4/2,60.084999,61.287498,59.224998,61.232498,165934000,0,AAPL
2020/4/3,60.700001,61.424999,59.7425,60.352501,129880000,0,AAPL
2020/4/6,62.724998,65.777496,62.345001,65.6175,201820400,0,AAPL
2020/4/7,67.699997,67.925003,64.75,64.857498,202887200,0,AAPL
2020/4/8,65.684998,66.842499,65.307503,66.517502,168895200,0,AAPL
2020/4/9,67.175003,67.517502,66.175003,66.997498,161834800,0,AAPL
2020/4/13,67.077499,68.425003,66.457497,68.3125,131022800,0,AAPL
2020/4/14,70,72.0625,69.512497,71.762497,194994800,0,AAPL
2020/4/15,70.599998,71.582497,70.157501,71.107498,131154400,0,AAPL
2020/4/16,71.845001,72.050003,70.587502,71.672501,157125200,0,AAPL
2020/4/17,71.172501,71.737503,69.214996,70.699997,215250000,0,AAPL
2020/4/20,69.487503,70.419998,69.212502,69.232498,130015200,0,AAPL
2020/4/21,69.07,69.3125,66.357498,67.092499,180991600,0,AAPL
2020/4/22,68.402496,69.474998,68.050003,69.025002,116862400,0,AAPL
2020/4/23,68.967499,70.4375,68.717499,68.7575,124814400,0,AAPL
2020/4/24,69.300003,70.752502,69.25,70.7425,126161200,0,AAPL
2020/4/27,70.449997,71.135002,69.987503,70.792503,117087600,0,AAPL
2020/4/28,71.269997,71.457497,69.550003,69.644997,112004800,0,AAPL
2020/4/29,71.182503,72.417503,70.972504,71.932503,137280800,0,AAPL
2020/4/30,72.489998,73.6325,72.087502,73.449997,183064000,0,AAPL
2020/5/1,71.5625,74.75,71.462502,72.267502,240616800,0,AAPL
2020/5/4,72.292503,73.422501,71.580002,73.290001,133568000,0,AAPL
2020/5/5,73.764999,75.25,73.614998,74.389999,147751200,0,AAPL
2020/5/6,75.114998,75.809998,74.717499,75.157501,142333600,0,AAPL
2020/5/7,75.805,76.292503,75.4925,75.934998,115215200,0,AAPL
2020/5/8,76.410004,77.587502,76.072502,77.532501,133838400,0,AAPL
2020/5/11,77.025002,79.262497,76.809998,78.752502,145946400,0,AAPL
2020/5/12,79.457497,79.922501,77.727501,77.852501,162301200,0,AAPL
2020/5/13,78.037498,78.987503,75.802498,76.912498,200622400,0,AAPL
2020/5/14,76.127502,77.447502,75.3825,77.385002,158929200,0,AAPL
2020/5/15,75.087502,76.974998,75.052498,76.927498,166348400,0,AAPL
2020/5/18,78.292503,79.125,77.580002,78.739998,135178400,0,AAPL
2020/5/19,78.7575,79.629997,78.252502,78.285004,101729600,0,AAPL
2020/5/20,79.169998,79.879997,79.129997,79.807503,111504800,0,AAPL
2020/5/21,79.665001,80.222504,78.967499,79.212502,102688800,0,AAPL
2020/5/22,78.942497,79.807503,78.837502,79.722504,81803200,0,AAPL
2020/5/26,80.875,81.059998,79.125,79.182503,125522000,0,AAPL
2020/5/27,79.035004,79.677498,78.272499,79.527496,112945200,0,AAPL
2020/5/28,79.192497,80.860001,78.907501,79.5625,133560800,0,AAPL
2020/5/29,79.8125,80.287498,79.1175,79.485001,153532400,0,AAPL
2020/6/1,79.4375,80.587502,79.302498,80.462502,80791200,0,AAPL
2020/6/2,80.1875,80.860001,79.732498,80.834999,87642800,0,AAPL
2020/6/3,81.165001,81.550003,80.574997,81.279999,104491200,0,AAPL
2020/6/4,81.097504,81.404999,80.195,80.580002,87560400,0,AAPL
2020/6/5,80.837502,82.9375,80.807503,82.875,137250400,0,AAPL
2020/6/8,82.5625,83.400002,81.830002,83.364998,95654400,0,AAPL
2020/6/9,83.035004,86.402496,83.002502,85.997498,147712400,0,AAPL
2020/6/10,86.974998,88.692497,86.522499,88.209999,166651600,0,AAPL
2020/6/11,87.327499,87.764999,83.870003,83.974998,201662400,0,AAPL
2020/6/12,86.18,86.949997,83.555,84.699997,200146000,0,AAPL
2020/6/15,83.3125,86.419998,83.144997,85.747498,138808800,0,AAPL
2020/6/16,87.864998,88.300003,86.18,88.019997,165428800,0,AAPL
2020/6/17,88.787498,88.849998,87.772499,87.897499,114406400,0,AAPL
2020/6/18,87.852501,88.362503,87.305,87.932503,96820400,0,AAPL
2020/6/19,88.660004,89.139999,86.287498,87.43,264476000,0,AAPL
2020/6/22,87.834999,89.864998,87.787498,89.717499,135445200,0,AAPL
2020/6/23,91,93.095001,90.567497,91.6325,212155600,0,AAPL
2020/6/24,91.25,92.197502,89.629997,90.014999,192623200,0,AAPL
2020/6/25,90.175003,91.25,89.392502,91.209999,137522400,0,AAPL
2020/6/26,91.102501,91.330002,88.254997,88.407501,205256800,0,AAPL
2020/6/29,88.3125,90.542503,87.82,90.445,130646000,0,AAPL
2020/6/30,90.019997,91.495003,90,91.199997,140223200,0,AAPL
2020/7/1,91.279999,91.839996,90.977501,91.027496,110737200,0,AAPL
2020/7/2,91.962502,92.6175,90.910004,91.027496,114041600,0,AAPL
2020/7/6,92.5,93.945,92.467499,93.462502,118655600,0,AAPL
2020/7/7,93.852501,94.654999,93.057503,93.172501,112424400,0,AAPL
2020/7/8,94.18,95.375,94.089996,95.342499,117092000,0,AAPL
2020/7/9,96.262497,96.317497,94.672501,95.752502,125642800,0,AAPL
2020/7/10,95.334999,95.980003,94.705002,95.919998,90257200,0,AAPL
2020/7/13,97.264999,99.955002,95.2575,95.477501,191649200,0,AAPL
2020/7/14,94.839996,97.254997,93.877502,97.057503,170989200,0,AAPL
2020/7/15,98.989998,99.247498,96.489998,97.724998,153198000,0,AAPL
2020/7/16,96.5625,97.404999,95.904999,96.522499,110577600,0,AAPL
2020/7/17,96.987503,97.147499,95.839996,96.327499,92186800,0,AAPL
2020/7/20,96.417503,98.5,96.0625,98.357498,90318000,0,AAPL
2020/7/21,99.172501,99.25,96.7425,97,103433200,0,AAPL
2020/7/22,96.692497,97.974998,96.602501,97.272499,89001600,0,AAPL
2020/7/23,96.997498,97.077499,92.010002,92.845001,197004400,0,AAPL
2020/7/24,90.987503,92.970001,89.144997,92.614998,185438800,0,AAPL
2020/7/27,93.709999,94.904999,93.480003,94.809998,121214000,0,AAPL
2020/7/28,94.3675,94.550003,93.247498,93.252502,103625600,0,AAPL
2020/7/29,93.75,95.230003,93.712502,95.040001,90329200,0,AAPL
2020/7/30,94.1875,96.297501,93.767502,96.190002,158130000,0,AAPL
2020/7/31,102.885002,106.415001,100.824997,106.260002,374336800,0,AAPL
2020/8/3,108.199997,111.637497,107.892502,108.9375,308151200,0,AAPL
2020/8/4,109.1325,110.790001,108.387497,109.665001,173071600,0,AAPL
2020/8/5,109.377502,110.392502,108.897499,110.0625,121776800,0,AAPL
2020/8/6,110.404999,114.412498,109.797501,113.902496,202428800,0,AAPL
2020/8/7,113.205002,113.675003,110.292503,111.112503,198045600,0,AAPL
2020/8/10,112.599998,113.775002,110,112.727501,212403600,0,AAPL
2020/8/11,111.970001,112.482498,109.107498,109.375,187902400,0,AAPL
2020/8/12,110.497498,113.275002,110.297501,113.010002,165598000,0,AAPL
2020/8/13,114.43,116.042503,113.927498,115.010002,210082000,0,AAPL
2020/8/14,114.830002,115,113.044998,114.907501,165565200,0,AAPL
2020/8/17,116.0625,116.087502,113.962502,114.607498,119561600,0,AAPL
2020/8/18,114.352501,116,114.0075,115.5625,105633600,0,AAPL
2020/8/19,115.982498,117.162498,115.610001,115.707497,145538000,0,AAPL
2020/8/20,115.75,118.392502,115.732498,118.275002,126907200,0,AAPL
2020/8/21,119.262497,124.8675,119.25,124.370003,338054800,0,AAPL
2020/8/24,128.697495,128.785004,123.9375,125.857498,345937600,0,AAPL
2020/8/25,124.697502,125.18,123.052498,124.824997,211495600,0,AAPL
2020/8/26,126.18,126.9925,125.082497,126.522499,163022400,0,AAPL
2020/8/27,127.142502,127.485001,123.832497,125.010002,155552400,0,AAPL
2020/8/28,126.012497,126.442497,124.577499,124.807503,187630000,0,AAPL
2020/8/31,127.580002,131,126,129.039993,225702700,0,AAPL
2020/9/1,132.759995,134.800003,130.529999,134.179993,151948100,0,AAPL
2020/9/2,137.589996,137.979996,127,131.399994,200119000,0,AAPL
2020/9/3,126.910004,128.839996,120.5,120.879997,257599600,0,AAPL
2020/9/4,120.07,123.699997,110.889999,120.959999,332607200,0,AAPL
2020/9/8,113.949997,118.989998,112.68,112.82,231366600,0,AAPL
2020/9/9,117.260002,119.139999,115.260002,117.32,176940500,0,AAPL
2020/9/10,120.360001,120.5,112.5,113.489998,182274400,0,AAPL
2020/9/11,114.57,115.230003,110,112,180860300,0,AAPL
2020/9/14,114.720001,115.93,112.800003,115.360001,140150100,0,AAPL
2020/9/15,118.330002,118.830002,113.610001,115.540001,184642000,0,AAPL
2020/9/16,115.230003,116,112.040001,112.129997,154679000,0,AAPL
2020/9/17,109.720001,112.199997,108.709999,110.339996,178011000,0,AAPL
2020/9/18,110.400002,110.879997,106.089996,106.839996,287104900,0,AAPL
2020/9/21,104.540001,110.190002,103.099998,110.080002,195713800,0,AAPL
2020/9/22,112.68,112.860001,109.160004,111.809998,183055400,0,AAPL
2020/9/23,111.620003,112.110001,106.769997,107.120003,150718700,0,AAPL
2020/9/24,105.169998,110.25,105,108.220001,167743300,0,AAPL
2020/9/25,108.43,112.440002,107.669998,112.279999,149981400,0,AAPL
2020/9/28,115.010002,115.32,112.779999,114.959999,137672400,0,AAPL
2020/9/29,114.550003,115.309998,113.57,114.089996,99382200,0,AAPL
2020/9/30,113.790001,117.260002,113.620003,115.809998,142675200,0,AAPL
2020/10/1,117.639999,117.720001,115.830002,116.790001,116120400,0,AAPL
2020/10/2,112.889999,115.370003,112.220001,113.019997,144712000,0,AAPL
2020/10/5,113.910004,116.650002,113.550003,116.5,106243800,0,AAPL
2020/10/6,115.699997,116.120003,112.25,113.160004,161498200,0,AAPL
2020/10/7,114.620003,115.550003,114.129997,115.080002,96849000,0,AAPL
2020/10/8,116.25,116.400002,114.589996,114.970001,83477200,0,AAPL
2020/10/9,115.279999,117,114.919998,116.970001,100506900,0,AAPL
2020/10/12,120.059998,125.18,119.279999,124.400002,240226800,0,AAPL
2020/10/13,125.269997,125.389999,119.650002,121.099998,262330500,0,AAPL
2020/10/14,121,123.029999,119.620003,121.190002,150712000,0,AAPL
2020/10/15,118.720001,121.199997,118.150002,120.709999,112559200,0,AAPL
2020/10/16,121.279999,121.550003,118.809998,119.019997,115393800,0,AAPL
2020/10/19,119.959999,120.419998,115.660004,115.980003,120639300,0,AAPL
2020/10/20,116.199997,118.980003,115.629997,117.510002,124423700,0,AAPL
2020/10/21,116.669998,118.709999,116.449997,116.870003,89946000,0,AAPL
2020/10/22,117.449997,118.040001,114.589996,115.75,101988000,0,AAPL
2020/10/23,116.389999,116.550003,114.279999,115.040001,82572600,0,AAPL
2020/10/26,114.010002,116.550003,112.879997,115.050003,111850700,0,AAPL
2020/10/27,115.489998,117.279999,114.540001,116.599998,92276800,0,AAPL
2020/10/28,115.050003,115.43,111.099998,111.199997,143937800,0,AAPL
2020/10/29,112.370003,116.93,112.199997,115.32,146129200,0,AAPL
2020/10/30,111.059998,111.989998,107.720001,108.860001,190272600,0,AAPL
2020/11/2,109.110001,110.68,107.32,108.769997,122866900,0,AAPL
2020/11/3,109.660004,111.489998,108.730003,110.440002,107624400,0,AAPL
2020/11/4,114.139999,115.589996,112.349998,114.949997,138235500,0,AAPL
2020/11/5,117.949997,119.620003,116.870003,119.029999,126387100,0,AAPL
2020/11/6,118.32,119.199997,116.129997,118.690002,114457900,0,AAPL
2020/11/9,120.5,121.989998,116.050003,116.32,154515300,0,AAPL
2020/11/10,115.550003,117.589996,114.129997,115.970001,138023400,0,AAPL
2020/11/11,117.190002,119.629997,116.440002,119.489998,112295000,0,AAPL
2020/11/12,119.620003,120.529999,118.57,119.209999,103162300,0,AAPL
2020/11/13,119.440002,119.669998,117.870003,119.260002,81581900,0,AAPL
2020/11/16,118.919998,120.989998,118.150002,120.300003,91183000,0,AAPL
2020/11/17,119.550003,120.669998,118.959999,119.389999,74271000,0,AAPL
2020/11/18,118.610001,119.82,118,118.029999,76322100,0,AAPL
2020/11/19,117.589996,119.059998,116.809998,118.639999,74113000,0,AAPL
2020/11/20,118.639999,118.769997,117.290001,117.339996,73604300,0,AAPL
2020/11/23,117.18,117.620003,113.75,113.849998,127959300,0,AAPL
2020/11/24,113.910004,115.849998,112.589996,115.169998,113874200,0,AAPL
2020/11/25,115.550003,116.75,115.169998,116.029999,76499200,0,AAPL
